weight_baseline_sched_cv,weight_baseline_seed7_cv,weight_lower_batch_cv,accuracy
0.03,0.42,0.55,0.8120326699643391
0.03,0.43,0.54,0.8120326699643391
0.03,0.44,0.53,0.8122627401357414
0.03,0.45,0.52,0.8120326699643391
0.03,0.46,0.51,0.8118025997929369
0.03,0.47,0.5,0.8123777752214425
0.03,0.48,0.49,0.8120326699643391
0.03,0.49,0.48,0.8123777752214425
0.03,0.5,0.47,0.8122627401357414
0.03,0.51,0.46,0.8122627401357414
0.03,0.52,0.45,0.8127228804785459
0.03,0.53,0.44,0.8122627401357414
0.03,0.54,0.43,0.8124928103071437
0.03,0.55,0.42,0.8124928103071437
0.03,0.56,0.41,0.8121477050500403
0.03,0.57,0.4,0.8124928103071437
0.03,0.58,0.39,0.8120326699643391
0.03,0.59,0.38,0.8118025997929369
0.03,0.6,0.37,0.8120326699643391
0.03,0.61,0.36,0.8120326699643391
0.03,0.62,0.35,0.8123777752214425
0.03,0.63,0.34,0.811917634878638
0.03,0.64,0.33,0.8113424594501323
0.03,0.65,0.32,0.8112274243644312
0.03,0.66,0.31,0.8105372138502244
0.03,0.67,0.3,0.8106522489359255
0.03,0.68,0.29,0.8106522489359255
0.03,0.69,0.28,0.8099620384217187
0.03,0.7,0.27,0.8099620384217187
0.03,0.71,0.26,0.8092718279075118
0.03,0.72,0.25,0.8099620384217187
0.03,0.73,0.24,0.8098470033360174
0.03,0.74,0.23,0.8096169331646152
0.03,0.75,0.22,0.8101921085931209
0.03,0.76,0.21,0.8099620384217187
0.03,0.77,0.2,0.8100770735074198
0.03,0.78,0.19,0.8105372138502244
0.03,0.79,0.18,0.8103071436788221
0.03,0.8,0.17,0.8101921085931209
0.03,0.81,0.16,0.8096169331646152
0.03,0.82,0.15,0.809501898078914
0.03,0.83,0.14,0.8092718279075118
0.03,0.84,0.13,0.8092718279075118
0.03,0.85,0.12,0.8086966524790061
0.03,0.86,0.11,0.8085816173933049
0.03,0.87,0.1,0.8085816173933049
0.03,0.88,0.09,0.8081214770505004
0.03,0.89,0.08,0.8081214770505004
0.03,0.9,0.07,0.8080064419647993
0.03,0.91,0.06,0.8076613367076958
0.03,0.92,0.05,0.8075463016219947
0.03,0.93,0.04,0.8070861612791902
0.03,0.94,0.03,0.8073162314505924
0.03,0.95,0.02,0.8067410560220868
0.03,0.96,0.01,0.8067410560220868
0.03,0.97,0.0,0.8068560911077879
0.04,0.0,0.96,0.8104221787645232
0.04,0.01,0.95,0.8105372138502244
0.04,0.02,0.94,0.8106522489359255
0.04,0.03,0.93,0.8106522489359255
0.04,0.04,0.92,0.8109973541930289
0.04,0.05,0.91,0.8114574945358334
0.04,0.06,0.9,0.8115725296215346
0.04,0.07,0.89,0.8114574945358334
0.04,0.08,0.88,0.8123777752214425
